,Unnamed: 0,time,open,high,low,close,Volume,Volume MA,avg_high_low,avg_open_close,avg_open_close_high_low,bid_price_from_open,bid_price_from_avg_open_close,bid_price_from_avg_high_low,bid_price_from_avg_open_close_high_low,ask_price_from_open,ask_price_from_avg_open_close,ask_price_from_avg_high_low,ask_price_from_avg_open_close_high_low
106,106,2021-01-21T09:14:55Z,27193.0,27193.0,27192.23,27192.23,0.16577999999999998,0.3288946499999981,27192.62,27192.62,27192.62,27184.3,27183.92,27183.92,27183.92,27201.7,27201.32,27201.32,27201.32
107,107,2021-01-21T09:14:56Z,27176.82,27198.43,27174.62,27174.62,0.077553,0.3264532499999981,27186.52,27175.72,27181.12,27168.12,27167.02,27177.82,27172.42,27185.52,27184.42,27195.22,27189.82
108,108,2021-01-21T09:14:58Z,27194.75,27208.69,27194.75,27208.69,0.128201,0.2925647999999981,27201.72,27201.72,27201.72,27186.05,27193.02,27193.02,27193.02,27203.45,27210.42,27210.42,27210.42
109,109,2021-01-21T09:14:59Z,27209.88,27217.7,27209.88,27217.7,0.05654500000000001,0.2870677499999981,27213.79,27213.79,27213.79,27201.18,27205.09,27205.09,27205.09,27218.58,27222.49,27222.49,27222.49
110,110,2021-01-21T09:15:00Z,27214.02,27214.12,27214.02,27214.12,0.004275,0.2825095999999981,27214.07,27214.07,27214.07,27205.32,27205.37,27205.37,27205.37,27222.72,27222.77,27222.77,27222.77
111,111,2021-01-21T09:15:01Z,27213.9,27213.9,27213.9,27213.9,0.000612,0.2665399499999981,27213.9,27213.9,27213.9,27205.2,27205.2,27205.2,27205.2,27222.6,27222.6,27222.6,27222.6
112,112,2021-01-21T09:15:02Z,27200.87,27208.69,27199.55,27208.69,0.26917,0.2771394499999981,27204.12,27204.78,27204.45,27192.17,27196.08,27195.42,27195.75,27209.57,27213.48,27212.82,27213.15
113,113,2021-01-21T09:15:03Z,27208.68,27216.27,27208.68,27216.27,0.096352,0.28087354999999803,27212.48,27212.48,27212.48,27199.98,27203.78,27203.78,27203.78,27217.38,27221.18,27221.18,27221.18
114,114,2021-01-21T09:15:04Z,27213.22,27234.42,27212.45,27234.42,1.030528,0.3274016999999981,27223.44,27223.82,27223.63,27204.52,27215.12,27214.74,27214.93,27221.92,27232.52,27232.14,27232.33
115,115,2021-01-21T09:15:05Z,27228.87,27240.06,27228.87,27240.06,0.20192,0.3326185499999981,27234.46,27234.46,27234.46,27220.17,27225.76,27225.76,27225.76,27237.57,27243.16,27243.16,27243.16
